Length,PreviousLength,InterArrivalTime,Type,Predict
1514,92,0.001904,Null,Null
1514,92,0.002133,Null,Null
1514,92,0.002134,Null,Null
1514,92,0.002355,Null,Null
1514,92,0.002798,Null,Null
1514,92,0.003675,Null,Null
1514,92,0.003916,Null,Null
1514,92,0.004152,Null,Null
1514,92,0.004389,Null,Null
1514,92,0.004615,Null,Null
1514,92,0.004849,Null,Null
1514,92,0.005087,Null,Null
1514,92,0.005551,Null,Null
1514,92,0.005795,Null,Null
1514,92,0.006244,Null,Null
1514,92,0.006475,Null,Null
1514,92,0.006951,Null,Null
1514,92,0.007832,Null,Null
1514,92,0.008069,Null,Null
1514,92,0.008547,Null,Null
1514,92,0.008784,Null,Null
1514,92,0.00926,Null,Null
1514,92,0.009508,Null,Null
1514,92,0.00975,Null,Null
1514,92,0.010214,Null,Null
1514,92,0.010896,Null,Null
1514,92,0.011344,Null,Null
1514,92,0.011575,Null,Null
1514,92,0.011807,Null,Null
1514,92,0.012269,Null,Null
1514,92,0.01227,Null,Null
1514,92,0.012728,Null,Null
1514,92,0.012986,Null,Null
1514,92,0.01322,Null,Null
1514,92,0.01363,Null,Null
1514,92,0.014341,Null,Null
1514,92,0.014344,Null,Null
1514,92,0.014816,Null,Null
1514,92,0.015526,Null,Null
1514,92,0.015527,Null,Null
1514,92,0.015761,Null,Null
1514,92,0.016436,Null,Null
1514,92,0.016662,Null,Null
1514,92,0.016896,Null,Null
1514,92,0.016899,Null,Null
1514,92,0.018334,Null,Null
1514,92,0.019986,Null,Null
1514,92,0.021169,Null,Null
1514,92,0.021922,Null,Null
1514,92,0.022447,Null,Null
1514,92,0.022683,Null,Null
1514,92,0.023155,Null,Null
1210,92,0.023391,Null,Null
842,92,0.064907,Null,Null
92,92,0.064908,Null,Null
270,179,0.103927,Null,Null
737,92,0.070228,Null,Null
92,92,0.07023,Null,Null
147,444,0.406899,ClientKeyExchange,Null
147,444,0.406998,ClientKeyExchange,Null
